benchmark,round,execution_order,candidate_wall_s,main_wall_s,gcc14_wall_s,candidate_cpu_s,main_cpu_s,gcc14_cpu_s,stdout_sha256
arith_loop,0,lccc>gcc>ccc,0.125682667,0.120969682,0.12130342,0.12052099999999988,0.1204130000000001,0.12088699999999997,0e4d18143e890dbedbe024fff0e6d9339f887665d0ef89fd64db39dca11a2fde
arith_loop,1,gcc>ccc>lccc,0.118914891,0.119490908,0.119919524,0.11849799999999999,0.119035,0.11941099999999993,0e4d18143e890dbedbe024fff0e6d9339f887665d0ef89fd64db39dca11a2fde
arith_loop,2,gcc>lccc>ccc,0.119789013,0.118225037,0.12155957,0.11924400000000013,0.11785000000000001,0.12101899999999999,0e4d18143e890dbedbe024fff0e6d9339f887665d0ef89fd64db39dca11a2fde
arith_loop,3,lccc>gcc>ccc,0.122336774,0.117790496,0.122782746,0.12195,0.1172869999999997,0.12233300000000025,0e4d18143e890dbedbe024fff0e6d9339f887665d0ef89fd64db39dca11a2fde
arith_loop,4,ccc>lccc>gcc,0.118433836,0.115940103,0.119901622,0.11797899999999961,0.11555600000000021,0.11941200000000007,0e4d18143e890dbedbe024fff0e6d9339f887665d0ef89fd64db39dca11a2fde
arith_loop,5,lccc>gcc>ccc,0.120368365,0.117853418,0.118916444,0.1198809999999999,0.11742100000000022,0.1185480000000001,0e4d18143e890dbedbe024fff0e6d9339f887665d0ef89fd64db39dca11a2fde
arith_loop,6,ccc>lccc>gcc,0.119135664,0.116462508,0.12190391,0.11868900000000027,0.11613399999999974,0.12146100000000004,0e4d18143e890dbedbe024fff0e6d9339f887665d0ef89fd64db39dca11a2fde
arith_loop,7,lccc>gcc>ccc,0.118099923,0.152252832,0.122225114,0.11768899999999993,0.15176000000000034,0.12169799999999986,0e4d18143e890dbedbe024fff0e6d9339f887665d0ef89fd64db39dca11a2fde
arith_loop,8,ccc>lccc>gcc,0.114573486,0.117553589,0.114735075,0.11426399999999992,0.11710399999999987,0.11435100000000009,0e4d18143e890dbedbe024fff0e6d9339f887665d0ef89fd64db39dca11a2fde
fib,0,gcc>ccc>lccc,0.002357198,0.002525031,0.177780188,0.002164000000000499,0.002226999999999535,0.17741700000000016,02e38edb3c7ff83003998a41add430d7d8fb51ed968891e2488a196a1d350f50
fib,1,gcc>ccc>lccc,0.002306605,0.002702224,0.17469744,0.0020780000000000243,0.0023439999999999017,0.17429999999999968,02e38edb3c7ff83003998a41add430d7d8fb51ed968891e2488a196a1d350f50
fib,2,lccc>ccc>gcc,0.002231496,0.002206441,0.188827092,0.002102999999999966,0.002042999999999573,0.18841399999999986,02e38edb3c7ff83003998a41add430d7d8fb51ed968891e2488a196a1d350f50
fib,3,gcc>ccc>lccc,0.002721016,0.002764455,0.17636411,0.002324000000000659,0.002465999999999191,0.17590200000000067,02e38edb3c7ff83003998a41add430d7d8fb51ed968891e2488a196a1d350f50
fib,4,lccc>ccc>gcc,0.002599241,0.002715841,0.174765134,0.002329999999999721,0.002501999999999782,0.17433500000000013,02e38edb3c7ff83003998a41add430d7d8fb51ed968891e2488a196a1d350f50
fib,5,gcc>ccc>lccc,0.002434961,0.003215379,0.175016459,0.0021800000000000708,0.002867000000000175,0.17459000000000024,02e38edb3c7ff83003998a41add430d7d8fb51ed968891e2488a196a1d350f50
fib,6,ccc>gcc>lccc,0.002501349,0.00235115,0.174752294,0.0022440000000001348,0.002113999999999727,0.17431199999999958,02e38edb3c7ff83003998a41add430d7d8fb51ed968891e2488a196a1d350f50
fib,7,gcc>ccc>lccc,0.002562962,0.002685332,0.177205444,0.0022500000000000853,0.0023239999999997707,0.1767910000000006,02e38edb3c7ff83003998a41add430d7d8fb51ed968891e2488a196a1d350f50
fib,8,gcc>ccc>lccc,0.002378493,0.002423882,0.178965824,0.002123000000000097,0.002199000000000062,0.1785199999999998,02e38edb3c7ff83003998a41add430d7d8fb51ed968891e2488a196a1d350f50
matmul,0,ccc>gcc>lccc,0.005260588,0.005330229,0.005407146,0.005041000000000295,0.005117999999999512,0.0050920000000003185,ba73d31a9697e906ebadba299801b8ba030378cb3ed1bf9be3a4ae68d79043df
matmul,1,ccc>lccc>gcc,0.005588763,0.0052763,0.005316039,0.005302000000000362,0.00509299999999957,0.005048999999999637,ba73d31a9697e906ebadba299801b8ba030378cb3ed1bf9be3a4ae68d79043df
matmul,2,ccc>gcc>lccc,0.005333957,0.005328472,0.005263981,0.005124999999999602,0.00509999999999966,0.0050880000000006476,ba73d31a9697e906ebadba299801b8ba030378cb3ed1bf9be3a4ae68d79043df
matmul,3,gcc>ccc>lccc,0.005324697,0.005538691,0.0053122,0.005128000000000021,0.005234999999999879,0.005090000000000039,ba73d31a9697e906ebadba299801b8ba030378cb3ed1bf9be3a4ae68d79043df
matmul,4,lccc>ccc>gcc,0.005317595,0.005410695,0.005422107,0.005106999999999751,0.005217000000000027,0.00512500000000049,ba73d31a9697e906ebadba299801b8ba030378cb3ed1bf9be3a4ae68d79043df
matmul,5,gcc>lccc>ccc,0.005315468,0.005424725,0.005289325,0.005143000000000342,0.005090000000000039,0.005068999999999768,ba73d31a9697e906ebadba299801b8ba030378cb3ed1bf9be3a4ae68d79043df
