benchmark,output_checked_all_rounds,candidate_text_sha256,main_text_sha256,text_changed,candidate_median_wall_s,main_median_wall_s,gcc14_median_wall_s,candidate_main_paired_median,candidate_main_bootstrap95_lo,candidate_main_bootstrap95_hi,candidate_gcc14_paired_median,candidate_gcc14_bootstrap95_lo,candidate_gcc14_bootstrap95_hi,candidate_binary_sha256,main_binary_sha256,binary_identical
arith_loop,True,0d5d2d2457c10a1fe483599d296f809d14f6427fbc3f614a0ce36b5a0a4c57ad,0d5d2d2457c10a1fe483599d296f809d14f6427fbc3f614a0ce36b5a0a4c57ad,False,0.119135664,0.117853418,0.12130342,1.0213396186778394,0.9746489832819992,1.0385963057664687,0.9916224400623871,0.9772915733383777,1.012209589785581,a101a7708be0c5a6cae752fbbefcbbd889b46118300bc2aed7c75a29050c4c81,a101a7708be0c5a6cae752fbbefcbbd889b46118300bc2aed7c75a29050c4c81,True
fib,True,52b3a2295134572171521271a49abd5dd1f017aae6c284359bd43ed8df4bf202,52b3a2295134572171521271a49abd5dd1f017aae6c284359bd43ed8df4bf202,False,0.002434961,0.002685332,0.17636411,0.9570667060405966,0.853595038753264,1.011355390876076,0.013912754342721559,0.013203427594588679,0.014872766326491645,e72ce75cedb659cd60b4297d80278629863fe45ea926637fa00fe8c577c0086d,e72ce75cedb659cd60b4297d80278629863fe45ea926637fa00fe8c577c0086d,True
matmul,True,edecae95d7c95cd0457c0cb65e37fe1e86f437d42046befe23e7828920cbddb9,edecae95d7c95cd0457c0cb65e37fe1e86f437d42046befe23e7828920cbddb9,False,0.005333957,0.005375145,0.005316039,0.986934707683291,0.9798594398794409,1.0247540735830096,1.0049425966451295,0.9728954979207146,1.0293477684323276,4076a06ccb070a666a85d44adf4bcb3903c18dff66e30f21388e33998dbb5995,4076a06ccb070a666a85d44adf4bcb3903c18dff66e30f21388e33998dbb5995,True
qsort,True,b1621b085c9bee2077b4d73e47d90c9b9f11143b1fe5dee58cd72e07453c0735,b1621b085c9bee2077b4d73e47d90c9b9f11143b1fe5dee58cd72e07453c0735,False,0.151442964,0.149600468,0.151186336,1.0104895861689418,0.9980282313314429,1.0213642229265882,1.0093250694687164,0.9445273133296356,1.0312182340492324,09ad8851f08ea4d67344983375d6dae4f9a380fbc94a2a65a429748642a77544,09ad8851f08ea4d67344983375d6dae4f9a380fbc94a2a65a429748642a77544,True
sieve,True,0ed385f600ebe861aa0ab46973c7672c91371b68453f59246c690672cd3a4ca8,0ed385f600ebe861aa0ab46973c7672c91371b68453f59246c690672cd3a4ca8,False,0.047119496,0.046864771,0.04396922,0.9985378850109871,0.9915449894831451,1.039984674027589,1.0780416656126894,1.0548758104062237,1.1044678062311044,ff59d49d3748307c41ee94f847f3710163815fa23140e3dcdc660dbfb93159ce,ff59d49d3748307c41ee94f847f3710163815fa23140e3dcdc660dbfb93159ce,True
tce_sum,True,85b9afe21b9bc5c0dddd3a64e5a25a4fd7d216431a217d8ed8dfe69536d5e8ac,85b9afe21b9bc5c0dddd3a64e5a25a4fd7d216431a217d8ed8dfe69536d5e8ac,False,0.002422953,0.002454352,0.002418868,0.9670648258198608,0.8299362562649298,1.0461184204116232,1.0197538352951123,0.829238101132636,1.1289827070271599,2b2f93187d3b38623016b8fc9488793818820dadeb63e5495da1ae5d125f483a,2b2f93187d3b38623016b8fc9488793818820dadeb63e5495da1ae5d125f483a,True
nbody,True,85545ccfa63a84ed8be92ff9408a335889ebeb64dd80e42208f57e11fe53dcaa,85545ccfa63a84ed8be92ff9408a335889ebeb64dd80e42208f57e11fe53dcaa,False,0.285245736,0.284581082,0.264683404,1.0037999368081203,0.9908485391027814,1.0175375529331803,1.0776865178898787,1.0747138018455658,1.0992126734841285,636e80cef7c430badc46110cc14f0bb785a58f0b96e1f8eac341269fa1da7819,636e80cef7c430badc46110cc14f0bb785a58f0b96e1f8eac341269fa1da7819,True
binary_trees,True,7bcd1119e732834ad1c07f70468fcff3f982c7f329317ca61f40476c02c4deb3,7bcd1119e732834ad1c07f70468fcff3f982c7f329317ca61f40476c02c4deb3,False,1.518200966,1.560474532,1.355624878,0.998057995220136,0.9101287147434867,1.0025129520147344,1.1639423952878398,1.0373380370542507,1.2185814112803557,51cb0080c2c9c9c9bb9552a3c0174823257f48b56ae34380ae3b5222ed628931,51cb0080c2c9c9c9bb9552a3c0174823257f48b56ae34380ae3b5222ed628931,True
spectral_norm,True,86928058b41cfefa6155875c5ceb1abeba6143b8ee3f44e68cd0274c7b4e56ba,f9435a453a3bfb14204444da8438beffeeb77cd6bcffcc3b7b299bfbad357b5a,True,0.241159586,6.542850855,0.235939704,0.03679051997196841,0.03582073501282037,0.0381957312939973,1.0247910970814251,1.0208561489387824,1.03556305216014,104be91e5acc0651eef4303161c5788ee247a510371dd94d1ed0ea2d6ecbf88b,cc5428687d7edaa41a08e9b8899e9fd149013b7d852ee47bf21b1ec4b7806d78,False
mandelbrot,True,6225bd4fa63d4c5832a1f6f5de06a304d4a781fcb7d2a23bde6e9bc1dd69180c,6225bd4fa63d4c5832a1f6f5de06a304d4a781fcb7d2a23bde6e9bc1dd69180c,False,1.346486159,1.343283014,1.050393407,1.0031263331186917,0.9949451167306329,1.0270114287230103,1.2983853429496215,1.2743476235929485,1.3132245958140885,978adead14aa80027f036d0e5c7d827ff976a721b08e5405cf260291be68ff81,978adead14aa80027f036d0e5c7d827ff976a721b08e5405cf260291be68ff81,True
hash_table,True,558e8de13cc4218fc476613c88efea6c219e72bc84672e361cfc9114a0386f6d,558e8de13cc4218fc476613c88efea6c219e72bc84672e361cfc9114a0386f6d,False,13.346481408,13.717919403,13.301066518,0.9953529050448923,0.9711440478622418,1.0198370669656178,1.0058174607099368,0.9787029020379825,1.0318630602207168,515e62bb5e3cbc753fc1342f674ede2bb9470fc5644cac45c4bde62a43aeec2c,515e62bb5e3cbc753fc1342f674ede2bb9470fc5644cac45c4bde62a43aeec2c,True
strlen_bench,True,be6c9502331a521609070b5e938daa9abd7090ccfa00c14a2af1a9a102cbce6e,be6c9502331a521609070b5e938daa9abd7090ccfa00c14a2af1a9a102cbce6e,False,0.263193807,0.261403348,0.257174025,0.9999916268856597,0.98684691829758,1.0215890042846736,1.017628397024303,0.9863770922681279,1.0282157521906183,3c4601f47b7e1a2d17cd4eec8d590bc880f98d21889c5bad3a013542da4f2aba,3c4601f47b7e1a2d17cd4eec8d590bc880f98d21889c5bad3a013542da4f2aba,True
switch_dispatch,True,1a7b7f053187876aee139c72553e2693db0cccb95dd5534810fc8daa86179f60,1a7b7f053187876aee139c72553e2693db0cccb95dd5534810fc8daa86179f60,False,0.677858234,0.686820778,0.612859398,0.9873619347246135,0.9818564977677816,1.0029443910880935,1.1132492898275135,1.086892874851062,1.1215296799928254,52df4fd77007c999934dc6ce2a1ae86cfbb1e843f7757b0fd20ba7a01edce0d0,52df4fd77007c999934dc6ce2a1ae86cfbb1e843f7757b0fd20ba7a01edce0d0,True
struct_copy,True,05dfafdc6172d1c78459b80bfa403337ce19ec39648414af6f2e48a6bcb9538b,05dfafdc6172d1c78459b80bfa403337ce19ec39648414af6f2e48a6bcb9538b,False,0.02470658,0.024650864,0.02663235,0.999184623597289,0.9540146825530744,1.1562073136620692,0.9421193516088303,0.839210201330925,1.1272683784945754,f0efbc8dbeb5cebf3f93d351df1fd9d879ec6709afc3b153a7e94da9134f4ece,f0efbc8dbeb5cebf3f93d351df1fd9d879ec6709afc3b153a7e94da9134f4ece,True
loop_patterns,True,496b99142e735a14f9cf54d9b74853cda72e5de7729c5ddd30b01d0f71e39fca,496b99142e735a14f9cf54d9b74853cda72e5de7729c5ddd30b01d0f71e39fca,False,0.075106204,0.07535128,0.077168706,0.9967475535916575,0.9700667043278068,1.042287404190718,1.0270529507406037,0.964903425834662,1.0417348380839397,4e8d5c03083b957b6b688dcf46041dfa1be05ae9a2c20984d9439a2db16bae4b,4e8d5c03083b957b6b688dcf46041dfa1be05ae9a2c20984d9439a2db16bae4b,True
fannkuch,True,0cc4a4278485fdb9219006a4f03b3a3e31613a2e4330c3f7e79a6df7d325eac6,0cc4a4278485fdb9219006a4f03b3a3e31613a2e4330c3f7e79a6df7d325eac6,False,3.282042129,3.286014671,3.174594657,0.9970369304358554,0.9886292937281204,1.0111402236726454,1.0301939977718548,1.0168504974056216,1.0440866174140786,3ab33922f4baf1d76401b9e5175617f3eb7ac9761018f59332eb674540f25ebd,3ab33922f4baf1d76401b9e5175617f3eb7ac9761018f59332eb674540f25ebd,True
ackermann,True,6a596333addc4749dca70bdf347e47140a9679fb7da63f1d58a54072eb9b05c9,6a596333addc4749dca70bdf347e47140a9679fb7da63f1d58a54072eb9b05c9,False,0.002442694,0.002403641,0.193195205,0.9554219730837483,0.8154693845640517,1.1874427260359366,0.013019842139982692,0.011592149330770452,0.013416918062599942,60619216760f4f1e5bcbc370f0f026466bebe5b3dfcfb784484be6539e47d56d,60619216760f4f1e5bcbc370f0f026466bebe5b3dfcfb784484be6539e47d56d,True
constant_recursion,True,beb352c141249722ae0933ce49d37b328909b72ae2f55fe10f616b75f01ea871,beb352c141249722ae0933ce49d37b328909b72ae2f55fe10f616b75f01ea871,False,0.002394252,0.002482165,0.194454751,0.9630186282728903,0.9098022430501755,1.0755404595338922,0.012503563976978655,0.01133865474803561,0.012689629924276911,3e22c740abb9e0245dccfea67eb7ea538209005e8c0af10061744e3ed08f7bfc,3e22c740abb9e0245dccfea67eb7ea538209005e8c0af10061744e3ed08f7bfc,True
bitops,True,fdeeaaadfaa8d85222dc5a9deeebdf49c6cebf56c90558a81535466c37327b8f,fdeeaaadfaa8d85222dc5a9deeebdf49c6cebf56c90558a81535466c37327b8f,False,0.196738257,0.195940418,0.343272359,1.0049863891972275,0.9478989906596341,1.0406964919563078,0.5704894284395219,0.5658112649430866,0.5763303006959347,fec20c513c9b3af000445cdf7fc3c525d95813c1f2d80dfe73813f018783ba9c,fec20c513c9b3af000445cdf7fc3c525d95813c1f2d80dfe73813f018783ba9c,True
double_reduction,True,ceb45c0e47b6a51b6aaf2316cd90147653f6b83e8660661d1347b336b4e8ea35,ceb45c0e47b6a51b6aaf2316cd90147653f6b83e8660661d1347b336b4e8ea35,False,0.110069632,0.10996941,0.110981428,0.9867017237245864,0.9695729919477561,1.0669748393732237,0.9998004003071447,0.9765856995273442,1.043923114775564,3f9e4b487710a8bcabb84303c368230f4ce795b44070e44f6c508adacdae6a8d,3f9e4b487710a8bcabb84303c368230f4ce795b44070e44f6c508adacdae6a8d,True
